PERMNO,TICKER,COMNAM,date
60709,UWN,NEVADA GOLD & CASINOS INC,2019-06-17
15586,TIER,TIER REIT INC,2019-06-17
11363,SCIN,COLUMBIA E T F TRUST II,2019-06-17
16669,NETS,NETSHOES CAYMAN LTD,2019-06-17
13541,BBRC,COLUMBIA E T F TRUST II,2019-06-17
82831,INSY,INSYS THERAPEUTICS INC,2019-06-18
93406,BORN,CHINA NEW BORUN CORP,2019-06-18
16661,TETF,EXCHANGE TRADED CONCEPTS TR,2019-06-19
16397,QTNA,QUANTENNA COMMUNICATIONS INC,2019-06-19
14915,SFS,SMART & FINAL STORES INC,2019-06-20
89184,BJZ,BLACKROCK CALIF MUN 2018 TERM TR,2019-06-20
89183,BLH,BLACKROCK NY MUN 2018 TERM TR,2019-06-20
89182,BPK,BLACKROCK MUN 2018 TERM TR,2019-06-20
91739,LGCY,LEGACY RESERVES INC,2019-06-27
13747,SXCP,SUNCOKE ENERGY PARTNERS LP,2019-06-28
17029,UITB,U S A A ETF TRUST,2019-07-01
17027,UEVM,U S A A ETF TRUST,2019-07-01
17028,USTB,U S A A ETF TRUST,2019-07-01
91608,CZFC,CITIZENS FIRST CORP,2019-07-01
17025,USVM,U S A A ETF TRUST,2019-07-01
17024,ULVM,U S A A ETF TRUST,2019-07-01
80990,LION,FIDELITY SOUTHERN CORP NEW,2019-07-01
17026,UIVM,U S A A ETF TRUST,2019-07-01
86021,LLL,L 3 TECHNOLOGIES INC,2019-07-01
11638,LABL,MULTI COLOR CORP,2019-07-02
14499,AMBR,AMBER ROAD INC,2019-07-02
91692,HF,H F F INC,2019-07-02
89817,TI,TELECOM ITALIA S P A NEW,2019-07-05
15011,MELR,MELROSE BANCORP INC,2019-07-08
18124,KPFS,PEPPER FOOD SERVICE CO LTD,2019-07-08
14967,SCTO,GLOBAL X FUNDS,2019-07-08
14968,EFFE,GLOBAL X FUNDS,2019-07-08
87184,RHT,RED HAT INC,2019-07-09
92777,ASCMA,ASCENT CAPITAL GROUP INC,2019-07-11
17918,BIKR,E T F MANAGERS TRUST,2019-07-15
16815,XYN,XYNOMIC PHARMACEUTICALS HLDGS IN,2019-07-16
13903,BRSS,GLOBAL BRASS & COPPER HLDGS INC,2019-07-16
13966,PETX,ARATANA THERAPEUTICS INC,2019-07-18
91954,ARCW,ARC GROUP WORLDWIDE INC,2019-07-19
14757,SGDM,ALPS E T F TRUST,2019-07-22
15232,SGDJ,ALPS E T F TRUST,2019-07-22
12892,AMID,AMERICAN MIDSTREAM PARTNERS L P,2019-07-23
77971,EFII,ELECTRONICS FOR IMAGING INC,2019-07-23
16189,WCFB,W C F BANCORP INC,2019-07-25
17331,YGTY,S S L J COM LTD,2019-07-26
15703,FDC,FIRST DATA CORP NEW,2019-07-29
16429,LEXEA,LIBERTY EXPEDIA HOLDINGS INC,2019-07-29
